,address,name,rating,users_rating_num,lat,lng,name_s
11,"Lindenpl. 4, 8048 Zürich, Switzerland",Denner Express,4.1,80,47.3871733,8.4859919,Denner
12,"Molkenstrasse 8, 8004 Zürich, Switzerland",Denner Express,4.2,57,47.3766288,8.5272297,Denner
13,"Schaffhauserstrasse 11, 8006 Zürich, Switzerland",Denner Express,4.0,91,47.3888958,8.538895,Denner
14,"Schwamendingenstrasse 24, 8050 Zürich, Switzerland",Denner Discount,4.1,133,47.40736709999999,8.5484298,Denner
15,"Sihlhallenstrasse 5/7, 8004 Zürich, Switzerland",Denner Express,4.1,129,47.37955520000001,8.5270829,Denner
16,"Uetlibergstrasse 102, 8045 Zürich, Switzerland",Denner Express,4.2,106,47.36181879999999,8.517764399999999,Denner
17,"Wengistrasse 7, 8004 Zürich, Switzerland",Denner Express,4.0,169,47.3748965,8.5234468,Denner
18,"Werdstrasse 36, 8004 Zürich, Switzerland",Denner Discount,4.2,240,47.3728157,8.5294178,Denner
19,"im OG, Altstetterstrasse 145, 8048 Zürich, Switzerland",Denner Discount,4.3,57,47.3884662,8.486958999999999,Denner
0,"Albisstrasse 81, 8038 Zürich, Switzerland",ALDI SUISSE,4.5,232,47.3409069,8.5306032,Aldi
1,"Badenerstrasse 565, 8048 Zürich, Switzerland",ALDI SUISSE,4.2,584,47.3837812,8.4975848,Aldi
2,"Baumackerstrasse 35, 8050 Zürich, Switzerland",ALDI SUISSE,4.2,611,47.4089051,8.5435923,Aldi
3,"Binzmühlestrasse 102, 8050 Zürich, Switzerland",ALDI SUISSE,4.2,588,47.4137869,8.5390221,Aldi
4,"Hohlstrasse 473, 8048 Zürich, Switzerland",ALDI SUISSE,4.2,687,47.3882645,8.4967244,Aldi
5,"Schärenmoosstrasse 77, 8052 Zürich, Switzerland",ALDI SUISSE - Zurich,4.3,421,47.4194852,8.556865,Aldi
6,"Sihlstrasse 3, 8001 Zürich, Switzerland",ALDI SUISSE,4.4,85,47.37372690000001,8.5376525,Aldi
7,"Ueberlandstrasse 441, 8051 Zürich, Switzerland",ALDI SUISSE,4.1,420,47.4058514,8.5921951,Aldi
8,"Witikonerstrasse 279, 8053 Zürich, Switzerland",ALDI SUISSE,4.3,143,47.35863060000001,8.5854632,Aldi
9,"Zollstrasse 58, 8005 Zürich, Switzerland",Aldi,4.3,945,47.3808425,8.533240600000001,Aldi
0,"Fraumünsterstrasse 16, 8001 Zürich, Switzerland",LIDL Switzerland,4.4,1004,47.3690042,8.5415353,Lidl
1,"Förrlibuckstrasse 62, 8005 Zürich, Switzerland",Lidl Schweiz,4.0,117,47.3921786,8.5151209,Lidl
2,"Grubenstrasse 28, 8045 Zürich, Switzerland",Lidl Schweiz,4.1,741,47.3616862,8.514746299999999,Lidl
3,"Hofwiesenstrasse 350, 8050 Zürich, Switzerland",Lidl Schweiz,3.7,21,47.4104947,8.5427327,Lidl
4,"Neue Winterthurerstrasse 2, 8304 Wallisellen, Switzerland",Lidl,4.1,667,47.41237719999999,8.613654499999999,Lidl
5,"Ohmstrasse 11, 8050 Zürich, Switzerland",Lidl Schweiz,4.1,897,47.4104654,8.545810399999999,Lidl
6,"Rapidpl. 5, 8953 Dietikon, Switzerland",Lidl Schweiz,4.1,399,47.4103875,8.4042018,Lidl
7,"Reitmenstrasse 5, 8952 Schlieren, Switzerland",Lidl,4.1,629,47.3994192,8.4327827,Lidl
8,"Schaffhauserstrasse 165, 8302 Kloten, Switzerland",Lidl,4.1,825,47.4548046,8.5792144,Lidl
9,"Ueberlandstrasse 381, 8051 Zürich, Switzerland",Lidl,4.1,577,47.4076838,8.5851245,Lidl
10,"Wehntalerstrasse 625, 8046 Zürich, Switzerland",Lidl Schweiz,4.1,85,47.4223972,8.4991661,Lidl
11,"Zürcherstrasse 133, 8952 Schlieren, Switzerland",Lidl,4.3,24,47.3972215,8.4645022,Lidl
0,"Dolderstrasse 5, 8032 Zürich, Switzerland",SPAR Supermarkt Dolderstrasse,4.1,85,47.3702544,8.5569322,Spar
1,"Forchstrasse 140, 8032 Zürich, Switzerland",SPAR Supermarkt Zürich Forchstrasse,3.9,40,47.3604555,8.5633622,Spar
2,"Freilagerstrasse 51, 8047 Zürich, Switzerland",SPAR Supermarkt Zollfreilager,4.3,184,47.3800427,8.4896586,Spar
3,"Hardturmstrasse 126, 8005 Zürich, Switzerland",SPAR express Zürich Hardturmstrasse,3.6,47,47.3935769,8.5130693,Spar
4,"Hottingerstrasse 2, 8032 Zürich, Switzerland",SPAR express Zürich Schauspielhaus,4.1,73,47.3703547,8.5494106,Spar
5,"Neunbrunnenstrasse 40, 8050 Zürich, Switzerland",Spar Express Neunbrunnenstrasse,5.0,25,47.4173318,8.5405674,Spar
6,"Regensbergstrasse 300, 8050 Zürich, Switzerland",Spar Supermarkt,3.9,145,47.4115192,8.528010499999999,Spar
7,"Schaffhauserstrasse 239, 8057 Zürich, Switzerland",Spar,4.3,123,47.4032176,8.5469741,Spar
8,"Toblerpl. 5, 8044 Zürich, Switzerland",SPAR express Zürich Toblerplatz,4.1,80,47.3791246,8.5597409,Spar
9,"Wehntalerstrasse 634, 8046 Zürich, Switzerland",SPAR Supermarkt,4.1,283,47.4230262,8.499400699999999,Spar
